title,year,rating,votes,popularity,genres,language,description,adult,movie_id
Joker,2019,8.131,27022,12.0973,"Crime, Thriller, Drama",en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",False,475557
Black Clover: Sword of the Wizard King,2023,8.128,336,6.6882,"Animation, Fantasy, Action, Adventure",ja,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",False,812225
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.125,5948,3.4274,"Comedy, War",en,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop it.",False,935
Flow,2024,8.125,2469,22.1369,"Animation, Adventure, Fantasy, Family",lv,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",False,823219
Full Metal Jacket,1987,8.124,11092,5.9444,"Drama, War",en,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,False,600
How to Make Millions Before Grandma Dies,2024,8.12,322,6.3366,Drama,th,"M, a university dropout low on money and luck, volunteers to take care of his terminally ill grandmother, in the hope of pocketing an inheritance.",False,1103621
Jujutsu Kaisen 0,2021,8.123,1584,10.8005,"Animation, Action, Fantasy",ja,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",False,810693
8½,1963,8.12,2444,5.1908,Drama,it,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",False,422
Green Snake,2021,8.118,344,3.1306,"Animation, Fantasy, Action, Adventure",zh,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",False,795607
Reservoir Dogs,1992,8.118,14977,6.3008,"Crime, Thriller",en,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",False,500
Red Beard,1965,8.115,388,3.3237,Drama,ja,"Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.",False,3780
Stalker,1979,8.114,2386,4.4936,"Science Fiction, Drama",ru,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",False,1398
"“The Shorts” by Aldo, Giovanni and Giacomo",1996,8.1,355,0.8144,Comedy,it,"I Corti (""Shorts"") by Aldo, Giovanni & Giacomo was the first stage show of the comedy trio, with the participation of Marina Massironi. It was recorded live at the Teatro Nuovo in Ferrara on 28 and 29 March 1996. Produced by Agidi, with the theatre direction of Arturo Brachetti.",False,38288
Wonder,2017,8.112,8104,6.7262,"Family, Drama",en,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",False,406997
Violet Evergarden: Eternity and the Auto Memory Doll,2019,8.107,424,4.3418,"Drama, Fantasy, Animation",ja,"Violet Evergarden comes to a private women's academy to tutor Isabella in the ways of being a lady. Heir to the York family, Isabella feels trapped in this new and uncomfortable world. She still grieves for the only person to ever bring her happiness – now lost to her. Violet's lessons do give her a brief respite from the melancholy but with the absence of joy, how long does it take to truly heal?",False,610892
Portrait of a Lady on Fire,2019,8.1,2807,6.4838,"Drama, Romance, History",fr,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",False,531428
Zack Snyder's Justice League,2021,8.103,10501,8.8965,"Action, Adventure, Fantasy",en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",False,791373
Soul,2020,8.104,11038,8.7358,"Animation, Family, Comedy, Fantasy, Drama",en,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",False,508442
WALL·E,2008,8.104,19685,11.2713,"Animation, Family, Science Fiction",en,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",False,10681
"Lock, Stock and Two Smoking Barrels",1998,8.104,6946,2.1493,"Comedy, Crime",en,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,False,100
Incendies,2010,8.103,3077,9.2367,"Drama, War, Mystery",fr,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",False,46738
Double Indemnity,1944,8.103,1934,1.8835,"Crime, Thriller",en,A seductive housewife draws an insurance salesman into a plot of adultery and crime to collect on her husband's life insurance.,False,996
Call Me by Your Name,2017,8.101,12501,12.2938,"Romance, Drama",en,"In the summer of 1983, a 17-year-old Elio spends his days in his family's villa in Italy. One day Oliver, a graduate student, arrives to assist Elio's father, a professor of Greco-Roman culture. Soon, Elio and Oliver discover a summer that will alter their lives forever.",False,398818
Metropolis,1927,8.1,2969,3.3619,"Drama, Science Fiction",de,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",False,19
Prisoners,2013,8.1,12590,7.2004,"Drama, Thriller, Crime",en,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",False,146233
There's Still Tomorrow,2023,8.094,1458,4.3888,"Drama, Comedy, History",it,"In postwar Rome, a working-class woman dreams of a better future for herself and her daughter while facing abuse at the hands of her domineering husband. When a mysterious letter arrives, she discovers the courage to change the circumstances of her life.",False,1026227
"Miraculous World: New York, United HeroeZ",2020,8.1,1118,5.9084,"Animation, TV Movie, Fantasy, Action",fr,"Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week.",False,755812
The Father,2020,8.1,3464,2.9208,Drama,en,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",False,600354
The Shop Around the Corner,1940,8.1,785,1.6199,"Comedy, Drama, Romance",en,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",False,20334
Wild Strawberries,1957,8.096,1746,6.874,Drama,sv,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",False,614
The Hunt,2012,8.1,4534,7.3188,Drama,da,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",False,103663
Big Deal on Madonna Street,1958,8.1,750,3.1206,"Comedy, Crime",it,"Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.",False,24382
In the Mood for Love,2000,8.093,3083,7.7076,"Drama, Romance",cn,"In 1962 Hong Kong, neighbors Su Li-zhen (Mrs. Chan) and Chow Mo-wan (Mr. Chow) discover their spouses are having an affair. As they spend time together, they develop feelings for each other, but their relationship remains chaste and unspoken, reflecting societal constraints and their own moral compass.",False,843
"Paris, Texas",1984,8.093,2087,3.4528,Drama,en,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",False,655
Eternal Sunshine of the Spotless Mind,2004,8.092,15837,10.5063,"Science Fiction, Drama, Romance",en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",False,38
Mortal Kombat Legends: Scorpion's Revenge,2020,8.091,1426,3.9678,"Animation, Action, Fantasy",en,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",False,664767
Yojimbo,1961,8.09,1602,4.1551,"Drama, Thriller",ja,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",False,11878
Some Like It Hot,1959,8.09,3715,5.502,"Comedy, Romance, Crime",en,Two musicians witness a mob hit and need to quickly find a way out of Chicago. Their only opportunity comes in the form of joining an all-girl band as they prepare to leave on a tour. The two disguise themselves as women and struggle to keep their identities secret as the gangsters close in.,False,239
The Hate U Give,2018,8.089,2187,4.4879,"Crime, Drama",en,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",False,470044
Doctor Who: The Time of the Doctor,2013,8.1,302,4.8264,"Drama, Science Fiction, TV Movie",en,"Orbiting a quiet backwater planet, the massed forces of the universe's deadliest species gather, drawn to a mysterious message that echoes out to the stars. And amongst them, the Doctor. Rescuing Clara from a family Christmas dinner, the Time Lord and his best friend must learn what this enigmatic signal means for his own fate and that of the universe.",False,282848
The Tale of The Princess Kaguya,2013,8.087,1907,4.2179,"Animation, Drama, Fantasy",ja,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",False,149871
La Haine,1995,8.086,4351,4.3815,Drama,fr,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",False,406
New Gods: Nezha Reborn,2021,8.1,487,4.2613,"Animation, Fantasy, Action",zh,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",False,663558
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,21452,17.4702,"Adventure, Fantasy",en,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",False,12445
Das Boot,1981,8.084,2384,2.9122,"Drama, History, War",de,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",False,387
The Invisible Guest,2017,8.083,4808,5.0724,"Drama, Mystery, Thriller",es,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.",False,411088
All About Eve,1950,8.1,1626,3.614,Drama,en,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",False,705
Children of Paradise,1945,8.1,438,3.6317,"Drama, Romance",fr,"In a chaotic 19th-century Paris teeming with aristocrats, thieves, psychics, and courtesans, theater mime Baptiste is in love with the mysterious actress Garance. But Garance, in turn, is loved by three other men: pretentious actor Frederick, conniving thief Lacenaire, and Count Edouard of Montray.",False,2457
Sansho the Bailiff,1954,8.1,407,3.0428,Drama,ja,"In medieval Japan, a woman and her children journey to find the family's patriarch, who was exiled years earlier.",False,20532
Far from the Tree,2021,8.1,383,2.9778,"Animation, Family",en,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",False,831827
The Great War,1959,8.1,363,4.2509,"Comedy, War, Drama",it,"Italy, 1916. Oreste Jacovacci and Giovanni Busacca are called, as all the Italian youths, to serve the army in the WWI. They both try in every way to avoid serving the army.",False,55823
There Will Be Blood,2007,8.076,7097,9.3872,Drama,en,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",False,7345
The Thing,1982,8.071,7567,6.8416,"Horror, Mystery, Science Fiction",en,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,False,1091
To Live,1994,8.069,350,2.8463,"Drama, Romance, War",zh,Married couple Fugui and Jiazhen endure tumultuous events in mid-20th century mainland China as their personal fortunes move from wealthy landownership to peasantry.,False,31439
Prayers for Bobby,2009,8.071,609,3.3486,"Drama, History, TV Movie",en,"Bobby Griffith was his mother's favorite son, the perfect all-American boy growing up under deeply religious influences in Walnut Creek, California. Bobby was also gay. Struggling with a conflict no one knew of, much less understood, Bobby finally came out to his family.",False,21634
The Best of Youth,2003,8.069,582,2.7211,"Drama, History, Romance",it,"After a fateful encounter in the summer of 1966, the lifepaths of two brothers from a middle-class Roman family diverge, intersecting with some of the most significant events of postwar Italian history in the following decades.",False,11659
My Neighbor Totoro,1988,8.067,8479,8.0486,"Fantasy, Animation, Family",ja,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",False,8392
M,1931,8.067,2359,2.5035,"Drama, Thriller, Crime",de,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",False,832
Memoir of a Snail,2024,8.065,696,9.4089,"Animation, Drama, Comedy",en,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",False,1064486
2001: A Space Odyssey,1968,8.1,12178,9.5077,"Science Fiction, Mystery, Adventure",en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",False,62
"Three Billboards Outside Ebbing, Missouri",2017,8.1,10581,6.475,"Crime, Drama",en,"After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",False,359940
Purple Hearts,2022,8.1,2775,9.9238,"Romance, Drama",en,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",False,762975
Pride & Prejudice,2005,8.058,8491,10.4585,"Drama, Romance",en,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",False,4348
Elite Squad,2007,8.057,2592,3.9947,"Drama, Action, Crime",pt,"In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.",False,7347
Scenes from a Marriage,1974,8.1,387,2.727,"Drama, Romance",sv,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection.",False,133919
La Dolce Vita,1960,8.1,1972,4.3573,"Comedy, Drama",it,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.",False,439
A Dog's Journey,2019,8.053,1585,5.8862,"Family, Adventure, Drama",en,A dog finds the meaning of his own existence through the lives of the humans he meets.,False,522518
Memories of Murder,2003,8.052,4309,6.6062,"Crime, Drama, Thriller",ko,"During the late 1980s, two detectives in rural South Korea attempt to solve a series of gruesome rape-and-murders of young women that leave the community terrified using limited resources and outdated methods. But when the murderer strikes several more times with the same pattern, the detectives realize that they are chasing the country's first documented serial killer. They then attempt to piece together the clues in this thriller based on true events.",False,11423
Hidden Figures,2016,8.1,10179,7.7554,"Drama, History",en,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",False,381284
Sherlock Jr.,1924,8.05,1101,5.1513,"Action, Comedy, Mystery",en,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",False,992
The Elephant Man,1980,8.0,3767,2.819,"Drama, History",en,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",False,1955
Along with the Gods: The Last 49 Days,2018,8.047,716,5.4188,"Action, Adventure, Fantasy, Thriller",ko,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",False,518068
Rashomon,1950,8.0,2412,4.7622,"Crime, Drama, Mystery",ja,Four people recount different versions of the story of a man's murder and the rape of his wife.,False,548
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019,8.046,589,4.8262,"Animation, Adventure, Comedy, Fantasy",ja,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",False,532067
A Taxi Driver,2017,8.046,1093,5.0679,"Action, Drama, History",ko,"May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job.",False,437068
Oppenheimer,2023,8.044,11012,16.7086,"Drama, History",en,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,False,872585
Me Against You: Mr. S's Vendetta,2020,8.0,469,0.8494,"Family, Fantasy",it,"A young couple who makes popular YouTube videos for children sets out to win an award, but an evil mastermind stands in the way of their success.",False,640344
Lion,2016,8.0,6805,3.7382,Drama,en,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",False,334543
Ran,1985,8.042,1707,5.8469,"Action, Drama, History",ja,Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an aging warlord divides his kingdom between his three sons.,False,11645
Guillermo del Toro's Pinocchio,2022,8.041,3187,6.0962,"Animation, Fantasy, Adventure, Drama",en,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",False,555604
A Special Day,1977,8.0,728,2.2996,"Drama, Romance",it,Two neighbours — a persecuted journalist and a resigned housewife — forge a strong bond on the day of Adolf Hitler's historic 1938 visit to Rome.,False,42229
How to Train Your Dragon: Homecoming,2019,8.038,1068,6.1218,"Animation, Fantasy, Adventure, Family",en,"It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own...",False,638507
Along with the Gods: The Two Worlds,2017,8.038,1133,5.7573,"Action, Adventure, Drama, Fantasy, Thriller",ko,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",False,397567
The Lives of Others,2006,8.038,3937,5.664,"Drama, Thriller",de,"In 1984 East Berlin, dedicated Stasi officer Gerd Wiesler begins spying on a famous playwright and his actress-lover Christa-Maria. Wiesler becomes unexpectedly sympathetic to the couple, and faces conflicting loyalties when his superior takes a liking to Christa-Maria.",False,582
Look Back,2024,8.037,435,8.154,"Animation, Drama",ja,"Popular, outgoing Fujino is celebrated by her classmates for her funny comics in the class newspaper. One day, her teacher asks her to share the space with Kyomoto, a truant recluse whose beautiful artwork sparks a competitive fervor in Fujino. What starts as jealousy transforms when Fujino realizes their shared passion for drawing.",False,1244492
Believe Me: The Abduction of Lisa McVey,2018,8.034,667,4.1426,"Drama, TV Movie, Crime",en,"On the night she plans on taking her own life, 17-year-old 'Lisa McVey' is kidnapped and finds herself fighting to stay alive and is raped. She manages to talk her attacker into releasing her, but when she returns home, no one believes her story except for one detective, who suspects she was abducted by a serial killer. Based on horrifying true events.",False,550776
The Grand Budapest Hotel,2014,8.033,15557,6.5525,"Comedy, Drama",en,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",False,120467
My Name Is Khan,2010,8.028,1385,5.1876,"Drama, Romance",hi,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",False,26022
The Second Mother,2015,8.031,763,2.4665,Drama,pt,"After leaving her daughter Jessica in a small town in Pernambuco to be raised by relatives, Val spends the next 13 years working as a nanny to Fabinho in São Paulo. She has financial stability but has to live with the guilt of having not raised Jessica herself. As Fabinho’s university entrance exams approach, Jessica reappears in her life and seems to want to give her mother a second chance. However, Jessica has not been raised to be a servant and her very existence will turn Val’s routine on its head. With precision and humour, the subtle and powerful forces that keep rigid class structures in place and how the youth may just be the ones to shake it all up.",False,310569
The Young and the Damned,1950,8.0,513,4.7962,"Drama, Crime",es,"A group of juvenile delinquents live a violent life in the infamous slums of Mexico City; among them Pedro, whose morality is gradually corrupted and destroyed by the others.",False,800
Ne Zha 2,2025,8.029,468,26.4788,"Animation, Fantasy, Adventure, Action",zh,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",False,980477
The Wolf of Wall Street,2013,8.026,25215,19.6971,"Crime, Drama, Comedy",en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",False,106646
Amadeus,1984,8.025,4547,4.7818,"History, Music, Drama",en,Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.,False,279
Transformers One,2024,8.023,1454,8.2251,"Animation, Science Fiction, Adventure, Family",en,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",False,698687
On My Skin,2018,8.0,1872,4.7718,Drama,it,"The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime and mysteriously found dead during his detention. In one week's time, a family is changed forever.",False,538362
The 400 Blows,1959,8.023,2247,4.1399,Drama,fr,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",False,147
Paper Lives,2021,8.0,398,1.1903,Drama,tr,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",False,785534
The Sting,1973,8.0,2811,2.7913,"Comedy, Crime, Drama",en,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,False,9277
"Rome, Open City",1945,8.0,943,4.7665,"Drama, War",it,"In WWII-era Rome, underground resistance leader Manfredi attempts to evade the Gestapo by enlisting the help of Pina, the fiancée of a fellow member of the resistance, and Don Pietro, the priest due to oversee her marriage. But it’s not long before the Nazis and the local police find him.",False,307
Judgment at Nuremberg,1961,8.0,884,5.3497,"Drama, History",en,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",False,821
"Veinteañera, divorciada y fantástica",2020,8.0,390,2.023,Comedy,es,"Regina, our young protagonist, always dreamed of getting married. And she did it - but the dream lasted much less than she thought and now she has to face life in a very funny way as a divorcee.",False,610461
